#IMF [M/H]    Age      U      B      V      R      I      J      H      K     U-V    B-V    V-R    V-I    V-J    V-H     V-K      (M/L)U   (M/L)B   (M/L)V   (M/L)R   (M/L)I   (M/L)J   (M/L)H   (M/L)K  F439W  F555W  F675W F814W 439-555 555-675 555-814
#=========================================================================================================================================================================================================================================================
1.30 -1.3146  0.0631   3.417  3.811  3.762  3.663  3.536  3.278  2.988  2.937 -0.345  0.048  0.100  0.227  0.485  0.774  0.825    0.040    0.067    0.113    0.144    0.170    0.201    0.206    0.207  3.818  3.764  3.640  3.548  0.054  0.124  0.216
1.30 -1.3146  0.0708   3.508  3.891  3.841  3.744  3.620  3.371  3.091  3.043 -0.333  0.049  0.097  0.221  0.471  0.750  0.799    0.043    0.071    0.121    0.154    0.183    0.217    0.225    0.227  3.898  3.844  3.722  3.633  0.054  0.122  0.211
1.30 -1.3146  0.0794   3.613  3.985  3.926  3.822  3.692  3.435  3.153  3.104 -0.312  0.060  0.103  0.233  0.491  0.772  0.821    0.047    0.077    0.130    0.165    0.194    0.229    0.238    0.240  3.993  3.928  3.799  3.705  0.064  0.129  0.223
1.30 -1.3146  0.0891   3.712  4.069  3.996  3.886  3.746  3.478  3.190  3.140 -0.285  0.072  0.111  0.250  0.518  0.806  0.857    0.052    0.083    0.138    0.174    0.204    0.238    0.245    0.246  4.076  4.000  3.861  3.760  0.076  0.139  0.240
1.30 -1.3146  0.1000   3.813  4.157  4.075  3.959  3.813  3.539  3.246  3.194 -0.263  0.081  0.116  0.262  0.537  0.829  0.882    0.057    0.090    0.148    0.185    0.216    0.250    0.256    0.258  4.164  4.079  3.932  3.828  0.085  0.147  0.251
1.30 -1.3146  0.1122   3.902  4.157  3.856  3.534  3.157  2.525  1.914  1.782  0.045  0.301  0.322  0.700  1.332  1.942  2.074    0.061    0.089    0.120    0.125    0.117    0.098    0.075    0.070  4.178  3.866  3.470  3.186  0.312  0.396  0.680
1.30 -1.3146  0.1259   4.000  4.241  3.929  3.600  3.216  2.575  1.959  1.825  0.071  0.312  0.329  0.713  1.354  1.970  2.104    0.067    0.096    0.128    0.132    0.123    0.102    0.078    0.072  4.263  3.940  3.535  3.247  0.323  0.404  0.693
1.30 -1.3146  0.1413   4.100  4.326  3.993  3.650  3.252  2.590  1.961  1.823  0.106  0.333  0.344  0.742  1.404  2.033  2.171    0.073    0.104    0.135    0.137    0.127    0.103    0.077    0.072  4.349  4.005  3.583  3.283  0.344  0.422  0.722
1.30 -1.3146  0.1585   4.200  4.412  4.053  3.689  3.270  2.577  1.928  1.784  0.147  0.359  0.364  0.783  1.475  2.125  2.269    0.079    0.111    0.142    0.141    0.128    0.101    0.075    0.069  4.436  4.065  3.619  3.303  0.371  0.446  0.762
1.30 -1.3146  0.1778   4.311  4.515  4.150  3.780  3.354  2.647  1.988  1.841  0.162  0.366  0.370  0.796  1.503  2.161  2.308    0.087    0.122    0.154    0.153    0.138    0.107    0.079    0.072  4.540  4.162  3.709  3.387  0.378  0.453  0.775
1.30 -1.3146  0.1995   4.414  4.611  4.251  3.888  3.464  2.757  2.098  1.950  0.163  0.359  0.364  0.787  1.494  2.153  2.301    0.096    0.133    0.169    0.168    0.152    0.118    0.086    0.080  4.635  4.264  3.818  3.498  0.371  0.446  0.766
1.30 -1.3146  0.2239   4.526  4.714  4.366  4.012  3.594  2.889  2.232  2.083  0.160  0.348  0.354  0.772  1.477  2.134  2.284    0.105    0.145    0.187    0.188    0.170    0.133    0.097    0.089  4.737  4.379  3.944  3.628  0.358  0.434  0.751
1.30 -1.3146  0.2512   4.613  4.791  4.459  4.119  3.715  3.025  2.377  2.229  0.154  0.332  0.340  0.744  1.434  2.082  2.229    0.114    0.155    0.202    0.206    0.189    0.150    0.111    0.102  4.812  4.471  4.054  3.747  0.341  0.417  0.724
1.30 -1.3146  0.2818   4.703  4.867  4.541  4.208  3.810  3.126  2.482  2.336  0.161  0.326  0.333  0.732  1.415  2.059  2.206    0.123    0.165    0.217    0.223    0.205    0.164    0.121    0.112  4.888  4.554  4.144  3.842  0.334  0.410  0.712
1.30 -1.3146  0.3162   4.783  4.936  4.628  4.309  3.921  3.250  2.610  2.463  0.155  0.307  0.320  0.707  1.378  2.018  2.165    0.132    0.175    0.234    0.243    0.226    0.182    0.136    0.125  4.955  4.640  4.247  3.953  0.315  0.393  0.687
1.30 -1.3146  0.3548   4.874  5.013  4.709  4.398  4.020  3.368  2.741  2.597  0.165  0.304  0.311  0.689  1.341  1.968  2.113    0.142    0.187    0.251    0.262    0.247    0.202    0.152    0.141  5.032  4.721  4.337  4.052  0.310  0.384  0.669
1.30 -1.3146  0.3981   4.974  5.093  4.776  4.461  4.081  3.430  2.806  2.663  0.198  0.317  0.315  0.694  1.345  1.970  2.113    0.155    0.201    0.265    0.277    0.260    0.213    0.161    0.149  5.112  4.789  4.400  4.113  0.323  0.389  0.675
1.30 -1.3146  0.4467   5.082  5.180  4.851  4.531  4.149  3.498  2.874  2.731  0.232  0.329  0.319  0.701  1.353  1.976  2.120    0.171    0.216    0.283    0.294    0.275    0.226    0.171    0.158  5.199  4.864  4.470  4.182  0.335  0.394  0.682
1.30 -1.3146  0.5012   5.218  5.295  4.953  4.630  4.247  3.597  2.982  2.842  0.265  0.342  0.324  0.707  1.356  1.971  2.111    0.192    0.239    0.309    0.320    0.299    0.246    0.187    0.174  5.315  4.967  4.567  4.279  0.347  0.400  0.688
1.30 -1.3146  0.5623   5.342  5.396  5.034  4.700  4.310  3.656  3.045  2.907  0.308  0.362  0.334  0.724  1.378  1.989  2.127    0.215    0.261    0.331    0.340    0.316    0.259    0.198    0.184  5.417  5.049  4.636  4.343  0.368  0.413  0.705
1.30 -1.3146  0.6310   5.472  5.511  5.125  4.781  4.381  3.719  3.108  2.972  0.347  0.387  0.344  0.744  1.405  2.017  2.152    0.241    0.289    0.359    0.364    0.336    0.273    0.208    0.194  5.533  5.140  4.715  4.415  0.393  0.425  0.725
1.30 -1.3146  0.7079   5.605  5.626  5.230  4.886  4.489  3.832  3.229  3.096  0.376  0.396  0.344  0.741  1.397  2.001  2.133    0.271    0.319    0.393    0.399    0.369    0.301    0.232    0.216  5.648  5.245  4.820  4.523  0.403  0.425  0.723
1.30 -1.3146  0.7943   5.729  5.726  5.314  4.966  4.565  3.908  3.307  3.175  0.414  0.412  0.349  0.749  1.407  2.008  2.140    0.302    0.349    0.423    0.428    0.394    0.321    0.248    0.232  5.749  5.331  4.899  4.600  0.418  0.432  0.731
1.30 -1.3146  0.8913   5.858  5.833  5.406  5.051  4.647  3.987  3.387  3.256  0.452  0.427  0.355  0.759  1.419  2.019  2.150    0.339    0.383    0.458    0.461    0.423    0.344    0.266    0.248  5.857  5.423  4.983  4.682  0.434  0.439  0.741
1.30 -1.3146  1.0000   5.973  5.929  5.488  5.130  4.726  4.070  3.477  3.348  0.485  0.441  0.358  0.762  1.417  2.011  2.139    0.375    0.416    0.491    0.493    0.452    0.370    0.287    0.269  5.953  5.505  5.062  4.761  0.448  0.444  0.744
1.30 -1.3146  1.1220   6.079  6.017  5.561  5.198  4.791  4.136  3.546  3.418  0.518  0.456  0.363  0.770  1.425  2.016  2.143    0.411    0.450    0.523    0.522    0.478    0.391    0.305    0.286  6.043  5.579  5.129  4.827  0.463  0.450  0.752
1.30 -1.3146  1.2589   6.147  6.058  5.552  5.163  4.737  4.064  3.467  3.339  0.595  0.506  0.389  0.815  1.488  2.085  2.213    0.436    0.465    0.517    0.503    0.453    0.364    0.282    0.264  6.087  5.571  5.089  4.773  0.515  0.482  0.798
1.30 -1.3146  1.4125   6.320  6.197  5.650  5.233  4.783  4.085  3.467  3.334  0.670  0.547  0.417  0.866  1.565  2.183  2.316    0.507    0.524    0.561    0.533    0.469    0.369    0.280    0.261  6.229  5.670  5.156  4.822  0.559  0.514  0.848
1.30 -1.3146  1.5849   6.473  6.356  5.824  5.423  4.991  4.323  3.730  3.604  0.648  0.532  0.401  0.833  1.502  2.095  2.221    0.580    0.603    0.655    0.631    0.565    0.456    0.354    0.333  6.387  5.845  5.348  5.029  0.542  0.497  0.816
1.30 -1.3146  1.7783   6.590  6.476  5.923  5.515  5.081  4.414  3.826  3.702  0.667  0.553  0.408  0.842  1.509  2.097  2.221    0.643    0.670    0.714    0.684    0.610    0.494    0.385    0.363  6.508  5.944  5.440  5.119  0.564  0.505  0.825
1.30 -1.3146  1.9953   6.718  6.602  6.022  5.604  5.163  4.494  3.906  3.782  0.697  0.580  0.418  0.859  1.528  2.116  2.239    0.721    0.749    0.779    0.739    0.655    0.529    0.413    0.389  6.636  6.044  5.527  5.202  0.591  0.518  0.842
1.30 -1.3146  2.2387   6.831  6.716  6.124  5.703  5.262  4.599  4.017  3.896  0.706  0.592  0.421  0.862  1.525  2.108  2.229    0.796    0.829    0.852    0.806    0.715    0.581    0.456    0.430  6.751  6.148  5.626  5.302  0.603  0.522  0.846
1.30 -1.3146  2.5119   6.946  6.838  6.244  5.822  5.383  4.727  4.151  4.031  0.703  0.594  0.421  0.861  1.516  2.093  2.213    0.881    0.923    0.946    0.895    0.795    0.650    0.513    0.484  6.873  6.267  5.746  5.423  0.605  0.522  0.844
1.30 -1.3146  2.8184   7.034  6.928  6.337  5.916  5.477  4.824  4.247  4.127  0.697  0.592  0.421  0.860  1.513  2.089  2.209    0.951    0.999    1.026    0.971    0.863    0.707    0.558    0.527  6.963  6.360  5.840  5.518  0.603  0.521  0.843
1.30 -1.3146  3.1623   7.157  7.055  6.455  6.032  5.593  4.948  4.377  4.259  0.702  0.600  0.423  0.863  1.508  2.078  2.196    1.061    1.118    1.140    1.077    0.957    0.790    0.627    0.593  7.090  6.480  5.956  5.634  0.610  0.524  0.845
1.30 -1.3146  3.5481   7.279  7.180  6.571  6.143  5.702  5.060  4.492  4.375  0.708  0.610  0.428  0.869  1.511  2.079  2.196    1.183    1.250    1.263    1.188    1.054    0.873    0.694    0.657  7.216  6.596  6.067  5.744  0.620  0.529  0.852
1.30 -1.3146  3.9811   7.388  7.297  6.676  6.243  5.799  5.160  4.596  4.480  0.713  0.622  0.433  0.876  1.515  2.080  2.196    1.303    1.387    1.386    1.298    1.148    0.954    0.760    0.721  7.334  6.702  6.166  5.843  0.633  0.536  0.859
1.30 -1.3146  4.4668   7.494  7.406  6.772  6.334  5.888  5.250  4.687  4.572  0.722  0.634  0.438  0.884  1.522  2.085  2.201    1.432    1.528    1.510    1.407    1.242    1.032    0.824    0.782  7.444  6.799  6.258  5.933  0.645  0.542  0.867
1.30 -1.3146  5.0119   7.595  7.524  6.883  6.442  5.995  5.361  4.801  4.687  0.712  0.642  0.441  0.887  1.522  2.082  2.196    1.565    1.697    1.666    1.548    1.366    1.139    0.912    0.866  7.563  6.910  6.366  6.041  0.653  0.545  0.870
1.30 -1.3146  5.6234   7.705  7.633  6.979  6.533  6.085  5.451  4.894  4.781  0.726  0.654  0.446  0.894  1.528  2.085  2.198    1.725    1.870    1.813    1.678    1.479    1.233    0.990    0.941  7.674  7.007  6.457  6.132  0.666  0.550  0.875
1.30 -1.3146  6.3096   7.820  7.746  7.081  6.631  6.182  5.549  4.995  4.883  0.739  0.665  0.450  0.899  1.532  2.086  2.197    1.912    2.068    1.985    1.830    1.611    1.345    1.083    1.031  7.788  7.110  6.555  6.230  0.678  0.555  0.880
1.30 -1.3146  7.0795   7.945  7.868  7.193  6.740  6.290  5.661  5.111  5.001  0.752  0.675  0.453  0.903  1.532  2.083  2.192    2.138    2.306    2.195    2.016    1.774    1.486    1.201    1.145  7.911  7.223  6.665  6.340  0.688  0.559  0.884
1.30 -1.3146  7.9433   8.052  7.971  7.286  6.829  6.378  5.749  5.202  5.093  0.766  0.685  0.457  0.908  1.537  2.085  2.193    2.353    2.529    2.383    2.181    1.918    1.607    1.302    1.242  8.016  7.317  6.754  6.429  0.699  0.563  0.889
1.30 -1.3146  8.9125   8.163  8.079  7.384  6.923  6.471  5.843  5.298  5.191  0.779  0.695  0.461  0.913  1.541  2.086  2.193    2.597    2.783    2.600    2.371    2.083    1.747    1.419    1.355  8.124  7.416  6.849  6.523  0.708  0.567  0.893
1.30 -1.3146 10.0000   8.279  8.194  7.492  7.029  6.577  5.951  5.411  5.304  0.787  0.701  0.464  0.916  1.541  2.082  2.188    2.882    3.084    2.864    2.606    2.288    1.924    1.569    1.500  8.240  7.525  6.955  6.630  0.715  0.570  0.895
1.30 -1.3146 11.2202   8.380  8.291  7.582  7.115  6.661  6.037  5.498  5.393  0.799  0.710  0.467  0.921  1.545  2.084  2.189    3.156    3.366    3.102    2.813    2.467    2.076    1.696    1.624  8.339  7.615  7.042  6.716  0.724  0.573  0.899
1.30 -1.3146 12.5893   8.494  8.401  7.682  7.211  6.755  6.131  5.593  5.489  0.812  0.718  0.471  0.927  1.552  2.089  2.194    3.497    3.715    3.396    3.068    2.685    2.259    1.847    1.770  8.450  7.717  7.140  6.812  0.733  0.578  0.905
1.30 -1.3146 14.1254   8.557  8.466  7.744  7.272  6.816  6.194  5.660  5.556  0.813  0.721  0.472  0.928  1.550  2.085  2.189    3.678    3.913    3.568    3.220    2.818    2.376    1.949    1.868  8.515  7.780  7.201  6.875  0.735  0.579  0.905
1.30 -1.3146 15.8489   8.695  8.601  7.884  7.412  6.959  6.344  5.816  5.713  0.811  0.717  0.472  0.925  1.540  2.068  2.171    4.144    4.401    4.027    3.636    3.188    2.707    2.233    2.143  8.651  7.921  7.345  7.020  0.730  0.577  0.901
1.30 -1.3146 17.7828   8.761  8.665  7.964  7.495  7.044  6.434  5.907  5.803  0.797  0.701  0.468  0.919  1.530  2.057  2.160    4.368    4.629    4.299    3.896    3.423    2.919    2.409    2.310  8.714  8.002  7.431  7.108  0.712  0.571  0.894
1.30 -0.7052  0.0631   3.497  3.910  3.843  3.708  3.532  3.179  2.774  2.690 -0.346  0.067  0.135  0.310  0.664  1.069  1.153    0.043    0.073    0.121    0.150    0.170    0.183    0.169    0.165  3.920  3.844  3.678  3.548  0.076  0.167  0.297
1.30 -0.7052  0.0708   3.596  3.988  3.914  3.778  3.603  3.253  2.855  2.773 -0.318  0.074  0.136  0.311  0.661  1.059  1.141    0.047    0.078    0.129    0.159    0.180    0.195    0.181    0.177  3.998  3.916  3.747  3.618  0.082  0.168  0.298
1.30 -0.7052  0.0794   3.700  4.073  3.996  3.862  3.692  3.352  2.969  2.890 -0.296  0.077  0.134  0.304  0.644  1.027  1.106    0.051    0.084    0.139    0.171    0.194    0.213    0.201    0.197  4.082  3.998  3.832  3.707  0.084  0.166  0.291
1.30 -0.7052  0.0891   3.799  4.149  4.064  3.929  3.759  3.421  3.044  2.967 -0.266  0.084  0.135  0.306  0.644  1.020  1.098    0.056    0.090    0.147    0.181    0.206    0.226    0.214    0.210  4.158  4.067  3.899  3.774  0.091  0.168  0.293
1.30 -0.7052  0.1000   3.890  4.223  4.133  3.996  3.824  3.487  3.115  3.039 -0.243  0.091  0.136  0.309  0.646  1.017  1.094    0.061    0.096    0.156    0.192    0.218    0.239    0.228    0.224  4.233  4.136  3.966  3.840  0.097  0.170  0.296
1.30 -0.7052  0.1122   3.980  4.295  4.175  4.005  3.775  3.330  2.849  2.737 -0.195  0.120  0.170  0.400  0.845  1.326  1.438    0.066    0.102    0.161    0.192    0.207    0.206    0.177    0.169  4.306  4.179  3.969  3.795  0.126  0.211  0.384
1.30 -0.7052  0.1259   4.069  4.338  4.115  3.817  3.336  2.529  1.781  1.589 -0.046  0.223  0.298  0.779  1.586  2.333  2.526    0.071    0.105    0.152    0.161    0.138    0.098    0.066    0.058  4.355  4.124  3.761  3.371  0.231  0.362  0.753
1.30 -0.7052  0.1413   4.167  4.424  4.205  3.915  3.436  2.628  1.881  1.684 -0.038  0.219  0.290  0.769  1.577  2.325  2.521    0.077    0.114    0.165    0.176    0.150    0.107    0.072    0.063  4.440  4.214  3.861  3.471  0.226  0.353  0.743
1.30 -0.7052  0.1585   4.253  4.497  4.283  4.006  3.543  2.751  2.014  1.818 -0.030  0.213  0.277  0.741  1.532  2.269  2.465    0.083    0.121    0.176    0.190    0.165    0.119    0.081    0.071  4.511  4.292  3.953  3.577  0.219  0.339  0.715
1.30 -0.7052  0.1778   4.344  4.572  4.368  4.106  3.663  2.892  2.167  1.971 -0.025  0.203  0.262  0.705  1.476  2.202  2.397    0.090    0.129    0.189    0.207    0.184    0.135    0.093    0.082  4.585  4.377  4.056  3.696  0.208  0.322  0.681
1.30 -0.7052  0.1995   4.448  4.660  4.456  4.205  3.786  3.039  2.333  2.139 -0.008  0.204  0.251  0.670  1.417  2.123  2.316    0.099    0.139    0.204    0.226    0.205    0.154    0.108    0.095  4.673  4.465  4.156  3.818  0.208  0.308  0.647
1.30 -0.7052  0.2239   4.556  4.748  4.542  4.298  3.896  3.167  2.478  2.287  0.014  0.207  0.244  0.646  1.374  2.063  2.255    0.109    0.150    0.220    0.245    0.225    0.172    0.123    0.108  4.761  4.551  4.250  3.927  0.210  0.301  0.624
1.30 -0.7052  0.2512   4.682  4.854  4.648  4.414  4.041  3.352  2.694  2.510  0.034  0.206  0.234  0.607  1.296  1.954  2.138    0.122    0.165    0.242    0.272    0.256    0.203    0.149    0.133  4.866  4.657  4.368  4.071  0.208  0.289  0.587
1.30 -0.7052  0.2818   4.797  4.944  4.723  4.481  4.103  3.414  2.760  2.580  0.074  0.222  0.241  0.620  1.308  1.962  2.142    0.134    0.178    0.257    0.287    0.270    0.214    0.157    0.141  4.957  4.733  4.433  4.133  0.225  0.299  0.599
1.30 -0.7052  0.3162   4.929  5.050  4.810  4.559  4.174  3.481  2.829  2.651  0.119  0.240  0.251  0.636  1.329  1.981  2.159    0.151    0.196    0.278    0.308    0.287    0.227    0.167    0.150  5.064  4.821  4.510  4.205  0.243  0.311  0.616
1.30 -0.7052  0.3548   5.072  5.163  4.910  4.652  4.260  3.560  2.906  2.728  0.162  0.253  0.258  0.650  1.350  2.004  2.182    0.172    0.216    0.303    0.333    0.310    0.243    0.178    0.160  5.177  4.921  4.601  4.292  0.256  0.320  0.629
1.30 -0.7052  0.3981   5.211  5.268  5.003  4.743  4.357  3.668  3.025  2.852  0.208  0.265  0.260  0.646  1.335  1.978  2.151    0.194    0.237    0.329    0.361    0.337    0.267    0.198    0.178  5.283  5.014  4.692  4.388  0.268  0.323  0.626
1.30 -0.7052  0.4467   5.351  5.370  5.086  4.817  4.423  3.727  3.083  2.910  0.265  0.284  0.269  0.663  1.358  2.003  2.176    0.220    0.259    0.353    0.385    0.356    0.281    0.208    0.187  5.385  5.098  4.764  4.455  0.287  0.334  0.642
1.30 -0.7052  0.5012   5.494  5.477  5.175  4.897  4.495  3.791  3.143  2.970  0.319  0.302  0.278  0.680  1.385  2.032  2.206    0.250    0.285    0.382    0.412    0.379    0.296    0.219    0.197  5.493  5.188  4.843  4.528  0.306  0.345  0.660
1.30 -0.7052  0.5623   5.627  5.581  5.260  4.973  4.563  3.850  3.200  3.026  0.367  0.321  0.287  0.698  1.410  2.060  2.234    0.281    0.312    0.411    0.440    0.402    0.312    0.230    0.207  5.598  5.274  4.917  4.597  0.324  0.356  0.677
1.30 -0.7052  0.6310   5.760  5.688  5.344  5.044  4.625  3.906  3.255  3.082  0.416  0.345  0.300  0.719  1.438  2.088  2.262    0.316    0.343    0.442    0.468    0.423    0.327    0.241    0.216  5.706  5.358  4.986  4.659  0.348  0.372  0.699
1.30 -0.7052  0.7079   5.883  5.796  5.432  5.122  4.697  3.975  3.326  3.152  0.452  0.365  0.309  0.734  1.457  2.106  2.280    0.353    0.377    0.477    0.500    0.451    0.346    0.256    0.230  5.815  5.447  5.063  4.732  0.368  0.384  0.714
1.30 -0.7052  0.7943   6.005  5.906  5.518  5.197  4.766  4.040  3.392  3.218  0.487  0.388  0.321  0.753  1.479  2.127  2.300    0.393    0.415    0.514    0.534    0.477    0.366    0.270    0.243  5.925  5.534  5.136  4.801  0.391  0.398  0.733
1.30 -0.7052  0.8913   6.134  6.021  5.606  5.270  4.829  4.099  3.451  3.278  0.528  0.415  0.336  0.777  1.507  2.155  2.328    0.440    0.459    0.555    0.568    0.504    0.385    0.284    0.256  6.043  5.623  5.207  4.866  0.419  0.417  0.757
1.30 -0.7052  1.0000   6.263  6.142  5.701  5.354  4.907  4.174  3.527  3.355  0.562  0.441  0.347  0.794  1.528  2.174  2.346    0.493    0.511    0.603    0.611    0.539    0.410    0.303    0.273  6.165  5.719  5.288  4.944  0.446  0.431  0.775
1.30 -0.7052  1.1220   6.381  6.260  5.791  5.432  4.980  4.247  3.604  3.434  0.591  0.469  0.359  0.810  1.544  2.187  2.356    0.547    0.566    0.652    0.653    0.574    0.437    0.324    0.292  6.284  5.810  5.365  5.018  0.474  0.445  0.791
1.30 -0.7052  1.2589   6.489  6.354  5.835  5.454  4.991  4.257  3.619  3.453  0.654  0.518  0.382  0.845  1.579  2.217  2.383    0.602    0.615    0.676    0.663    0.576    0.439    0.327    0.296  6.381  5.856  5.382  5.029  0.526  0.474  0.827
1.30 -0.7052  1.4125   6.556  6.396  5.817  5.407  4.935  4.205  3.575  3.417  0.739  0.579  0.410  0.882  1.612  2.241  2.400    0.637    0.636    0.661    0.632    0.545    0.416    0.312    0.285  6.429  5.839  5.331  4.974  0.590  0.508  0.865
1.30 -0.7052  1.5849   6.833  6.666  6.072  5.642  5.137  4.371  3.707  3.536  0.761  0.593  0.430  0.936  1.702  2.365  2.537    0.814    0.807    0.828    0.777    0.650    0.480    0.349    0.315  6.700  6.095  5.564  5.178  0.606  0.531  0.917
1.30 -0.7052  1.7783   6.983  6.824  6.218  5.786  5.290  4.544  3.896  3.729  0.765  0.606  0.432  0.928  1.674  2.322  2.489    0.929    0.929    0.943    0.883    0.744    0.560    0.414    0.374  6.860  6.241  5.708  5.331  0.618  0.534  0.910
1.30 -0.7052  1.9953   7.127  6.963  6.328  5.883  5.388  4.649  4.009  3.847  0.799  0.635  0.444  0.940  1.678  2.319  2.481    1.057    1.051    1.038    0.961    0.811    0.614    0.457    0.415  7.001  6.352  5.803  5.430  0.649  0.549  0.922
1.30 -0.7052  2.2387   7.252  7.086  6.420  5.962  5.461  4.721  4.083  3.923  0.833  0.667  0.458  0.958  1.698  2.337  2.497    1.181    1.173    1.125    1.029    0.864    0.654    0.487    0.443  7.127  6.445  5.880  5.504  0.683  0.565  0.940
1.30 -0.7052  2.5119   7.384  7.210  6.524  6.058  5.554  4.812  4.174  4.015  0.860  0.687  0.466  0.969  1.712  2.350  2.509    1.326    1.309    1.232    1.119    0.937    0.707    0.527    0.480  7.253  6.549  5.975  5.598  0.704  0.574  0.951
1.30 -0.7052  2.8184   7.508  7.327  6.626  6.156  5.653  4.915  4.284  4.127  0.882  0.701  0.470  0.972  1.711  2.342  2.499    1.480    1.451    1.347    1.218    1.022    0.774    0.580    0.530  7.372  6.651  6.072  5.697  0.720  0.579  0.954
1.30 -0.7052  3.1623   7.616  7.432  6.723  6.250  5.748  5.011  4.382  4.226  0.893  0.710  0.473  0.975  1.712  2.341  2.496    1.628    1.592    1.467    1.324    1.110    0.842    0.633    0.579  7.478  6.749  6.167  5.792  0.729  0.582  0.957
1.30 -0.7052  3.5481   7.721  7.532  6.816  6.340  5.838  5.104  4.478  4.324  0.905  0.717  0.476  0.977  1.711  2.337  2.492    1.787    1.740    1.593    1.433    1.202    0.914    0.689    0.631  7.579  6.842  6.257  5.883  0.737  0.586  0.959
1.30 -0.7052  3.9811   7.833  7.639  6.910  6.428  5.925  5.190  4.564  4.411  0.923  0.729  0.482  0.985  1.720  2.346  2.499    1.975    1.911    1.730    1.549    1.297    0.985    0.743    0.681  7.687  6.937  6.345  5.971  0.750  0.592  0.966
1.30 -0.7052  4.4668   7.966  7.769  7.032  6.546  6.042  5.309  4.685  4.534  0.934  0.737  0.486  0.990  1.723  2.346  2.498    2.222    2.145    1.927    1.718    1.438    1.095    0.827    0.759  7.818  7.059  6.462  6.089  0.758  0.597  0.970
1.30 -0.7052  5.0119   8.083  7.877  7.126  6.634  6.127  5.391  4.767  4.616  0.957  0.751  0.492  1.000  1.735  2.359  2.510    2.467    2.362    2.096    1.857    1.550    1.177    0.889    0.816  7.928  7.154  6.550  6.175  0.773  0.604  0.980
1.30 -0.7052  5.6234   8.222  8.016  7.261  6.767  6.262  5.532  4.913  4.765  0.961  0.755  0.493  0.999  1.728  2.347  2.496    2.793    2.675    2.363    2.092    1.749    1.336    1.014    0.932  8.067  7.290  6.684  6.311  0.778  0.605  0.978
1.30 -0.7052  6.3096   8.340  8.124  7.354  6.854  6.345  5.612  4.993  4.844  0.985  0.769  0.500  1.010  1.742  2.362  2.510    3.102    2.944    2.568    2.259    1.881    1.434    1.087    1.000  8.177  7.384  6.771  6.395  0.793  0.613  0.989
1.30 -0.7052  7.0795   8.454  8.231  7.449  6.943  6.430  5.697  5.077  4.929  1.005  0.782  0.506  1.019  1.752  2.372  2.520    3.437    3.238    2.793    2.443    2.029    1.544    1.170    1.078  8.286  7.479  6.860  6.482  0.806  0.620  0.997
1.30 -0.7052  7.9433   8.579  8.348  7.554  7.042  6.526  5.791  5.171  5.024  1.025  0.793  0.512  1.028  1.763  2.383  2.530    3.844    3.594    3.066    2.668    2.209    1.679    1.272    1.173  8.404  7.585  6.959  6.579  0.819  0.626  1.006
1.30 -0.7052  8.9125   8.695  8.453  7.647  7.129  6.610  5.874  5.254  5.108  1.048  0.806  0.518  1.037  1.773  2.393  2.539    4.263    3.947    3.330    2.881    2.380    1.806    1.369    1.263  8.511  7.679  7.046  6.665  0.832  0.633  1.014
1.30 -0.7052 10.0000   8.807  8.555  7.738  7.215  6.693  5.957  5.337  5.192  1.069  0.817  0.523  1.045  1.781  2.401  2.546    4.712    4.323    3.610    3.109    2.561    1.943    1.473    1.360  8.615  7.771  7.132  6.750  0.844  0.638  1.021
1.30 -0.7052 11.2202   8.917  8.653  7.825  7.296  6.772  6.035  5.415  5.272  1.092  0.828  0.529  1.053  1.790  2.410  2.553    5.199    4.720    3.899    3.341    2.745    2.082    1.579    1.459  8.715  7.859  7.214  6.830  0.857  0.644  1.029
1.30 -0.7052 12.5893   9.030  8.751  7.909  7.374  6.845  6.105  5.484  5.342  1.121  0.842  0.536  1.064  1.804  2.425  2.568    5.754    5.151    4.203    3.578    2.928    2.215    1.677    1.552  8.815  7.944  7.292  6.905  0.872  0.652  1.039
1.30 -0.7052 14.1254   9.135  8.843  7.991  7.450  6.920  6.179  5.559  5.418  1.144  0.852  0.540  1.071  1.812  2.432  2.573    6.321    5.592    4.518    3.830    3.128    2.365    1.792    1.660  8.909  8.026  7.369  6.981  0.883  0.657  1.046
1.30 -0.7052 15.8489   9.237  8.937  8.078  7.535  7.004  6.266  5.650  5.511  1.159  0.859  0.543  1.074  1.812  2.428  2.567    6.919    6.075    4.879    4.125    3.369    2.554    1.942    1.803  9.004  8.114  7.455  7.067  0.890  0.660  1.047
1.30 -0.7052 17.7828   9.332  9.028  8.167  7.622  7.092  6.359  5.747  5.610  1.165  0.861  0.545  1.075  1.808  2.420  2.557    7.490    6.557    5.256    4.436    3.627    2.761    2.107    1.960  9.096  8.205  7.543  7.157  0.892  0.661  1.047
1.30 -0.3960  0.0631   3.535  3.931  3.869  3.736  3.558  3.194  2.768  2.669 -0.333  0.062  0.132  0.310  0.675  1.100  1.200    0.045    0.074    0.125    0.154    0.174    0.186    0.168    0.162  3.940  3.870  3.707  3.573  0.070  0.163  0.297
1.30 -0.3960  0.0708   3.631  4.007  3.937  3.803  3.626  3.270  2.857  2.761 -0.305  0.070  0.134  0.311  0.667  1.080  1.176    0.049    0.079    0.132    0.163    0.184    0.198    0.182    0.175  4.016  3.939  3.774  3.642  0.077  0.165  0.297
