abbrev	common_name	genome_name	db_prefix	taxonomy_id
the-gela	Gelada	theropithecus_gelada	theropithecus_gelada	9565
tup-bela	Tree Shrew	tupaia_belangeri	tupaia_belangeri	37347
tur-trun	Dolphin	tursiops_truncatus	tursiops_truncatus	9739
uro-parr	Arctic ground squirrel	urocitellus_parryii	urocitellus_parryii	9999
urs-amer	American black bear	ursus_americanus	ursus_americanus	9643
urs-mari	Polar bear	ursus_maritimus	ursus_maritimus	29073
urs-thib-thib	Asiatic black bear	ursus_thibetanus_thibetanus	ursus_thibetanus_thibetanus	441215
var-komo	Komodo dragon	varanus_komodoensis	varanus_komodoensis	61221
vic-paco	Alpaca	vicugna_pacos	vicugna_pacos	30538
vom-ursi	Common wombat	vombatus_ursinus	vombatus_ursinus	29139
vul-vulp	Red fox	vulpes_vulpes	vulpes_vulpes	9627
xen-trop	Tropical clawed frog	xenopus_tropicalis	xenopus_tropicalis	8364
xip-couc	Monterrey platyfish	xiphophorus_couchianus	xiphophorus_couchianus	32473
xip-macu	Platyfish	xiphophorus_maculatus	xiphophorus_maculatus	8083
zal-cali	California sea lion	zalophus_californianus	zalophus_californianus	9704
zon-albi	White-throated sparrow	zonotrichia_albicollis	zonotrichia_albicollis	44394
zos-late-mela	Silver-eye	zosterops_lateralis_melanops	zosterops_lateralis_melanops	1220523
